Hash table size: 120
Bucket size: 1
Hashing Scheme: division
Modulo: 127
Collision Scheme: quadratic
_______________________________
Load Factor: 0.9
# of comparisons: 255
# of collisions: 147
# of primary collisions: 45
# of secondary collisions: 102
Hashing runtime: 0.227 ms
_______________________________
['63732']	['93727']	['21839']	['43691']	['37468']
['70102']	['31624']	['73794']	['1393']	['68081']
['88021']	['67314']	['22745']	['69609']	['25922']
['6873']	['16018']	['82567']	['32906']	['94089']
['87382']	['43568']	['49551']	['59962']	['11581']
['56794']	['19522']	['6957']	['82070']	['89310']
['_____']	['87407']	['97821']	['30132']	['17269']
['50962']	['98842']	['39914']	['46048']	['_____']
['25948']	['43216']	['5727']	['_____']	['17159']
['66339']	['43226']	['_____']	['68725']	['33944']
['2336']	['3607']	['85650']	['10086']	['67486']
['26343']	['95052']	['39426']	['22410']	['52256']
['3743']	['41589']	['66610']	['5016']	['54293']
['89092']	['42724']	['9054']	['56806']	['90366']
['_____']	['99879']	['63318']	['99259']	['8710']
['74242']	['88087']	['76911']	['29542']	['75389']
['_____']	['54280']	['_____']	['19260']	['23706']
['_____']	['69936']	['43393']	['61810']	['87240']
['95340']	['471']	['81880']	['_____']	['33368']
['5932']	['8732']	['70328']	['_____']	['14318']
['82269']	['33248']	['95732']	['63222']	['90146']
['50524']	['54970']	['37572']	['90405']	['24620']
['82406']	['_____']	['_____']	['98787']	['33755']
['21451']	['17304']	['97018']	['19930']	['63365']
