Hash table size: 120
Bucket size: 1
Hashing Scheme: division
Modulo: 113
Collision Scheme: linear
_______________________________
Load Factor: 0.9
# of comparisons: 434
# of collisions: 326
# of primary collisions: 56
# of secondary collisions: 270
Hashing runtime: 0.396 ms
_______________________________
['61810']	['69609']	['74242']	['43393']	['63732']
['73794']	['90405']	['41589']	['82269']	['8710']
['66339']	['42724']	['87240']	['50524']	['3743']
['9054']	['26343']	['17304']	['75389']	['95052']
['471']	['95732']	['68725']	['32906']	['_____']
['98787']	['33248']	['39914']	['67486']	['82406']
['21839']	['8732']	['22745']	['82070']	['10086']
['33368']	['22410']	['1393']	['63318']	['87382']
['89310']	['54280']	['19930']	['70328']	['5016']
['99259']	['25922']	['33944']	['89092']	['29542']
['93727']	['52256']	['54970']	['54293']	['66610']
['68081']	['63222']	['11581']	['87407']	['49551']
['43226']	['5932']	['46048']	['43568']	['97018']
['37468']	['37572']	['43216']	['81880']	['56794']
['88087']	['25948']	['70102']	['43691']	['94089']
['30132']	['2336']	['82567']	['97821']	['90366']
['98842']	['95340']	['33755']	['5727']	['14318']
['16018']	['90146']	['19522']	['63365']	['56806']
['23706']	['59962']	['19260']	['6873']	['21451']
['17269']	['67314']	['31624']	['6957']	['24620']
['99879']	['76911']	['69936']	['39426']	['3607']
['17159']	['_____']	['88021']	['_____']	['85650']
['_____']	['_____']	['50962']	['_____']	['_____']
['_____']	['_____']	['_____']	['_____']	['_____']
